model,hidden_dim,num_layers,num_heads,dropout,lr,label_weight,val_loss,AUPR
transformer,128,2,4,0.2,0.0007585775750291836,"(0.69317, 24.61498)",0.35045257210731506,0.5166811587544057
transformer,128,2,2,0.2,0.0007585775750291836,"(0.69317, 24.61498)",0.37113019824028015,0.5162348783439982
transformer,128,3,4,0.1,0.001,"(0.228, 5.802)",0.076668880879879,0.5159633499842226
transformer,128,3,2,0.2,0.0007585775750291836,"(0.69317, 24.61498)",0.3193848431110382,0.5159515623700075
transformer,128,2,2,0.2,0.001,"(0.228, 5.802)",0.09381755441427231,0.5157147955223115
transformer,256,2,2,0.2,0.0007585775750291836,"(0.228, 5.802)",0.09873936325311661,0.5155548548169215
transformer,64,3,2,0.1,0.001,"(0.78324, 8.46187)",0.1257268637418747,0.5152604434589064
transformer,64,2,4,0.1,0.001,"(0.228, 5.802)",0.07914520055055618,0.5149752233119469
transformer,64,2,2,0.2,0.001,"(0.78324, 8.46187)",0.12607696652412415,0.5147008174832072
transformer,128,2,4,0.2,0.001,"(0.69317, 24.61498)",0.31957629323005676,0.5146246366843666
transformer,128,2,2,0.2,0.001,"(0.69317, 24.61498)",0.3551919162273407,0.5143399355442507
transformer,64,2,4,0.2,0.0007585775750291836,"(0.78324, 8.46187)",0.11861173063516617,0.5140215806014073
transformer,128,2,2,0.3,0.001,"(0.228, 5.802)",0.08414431661367416,0.5136196986552047
transformer,128,2,2,0.3,0.0007585775750291836,"(0.228, 5.802)",0.0869005098938942,0.512622336925542
transformer,128,3,2,0.2,0.001,"(0.228, 5.802)",0.07520643621683121,0.5125230586276229
transformer,64,2,2,0.1,0.001,"(0.228, 5.802)",0.08217447251081467,0.5125173738054721
transformer,128,3,4,0.3,0.001,"(0.228, 5.802)",0.08299987763166428,0.511939006790919
transformer,128,3,4,0.3,0.001,"(0.78324, 8.46187)",0.13302971422672272,0.5117892597288684
transformer,64,3,2,0.1,0.0007585775750291836,"(0.78324, 8.46187)",0.1345132440328598,0.5112469855858738
transformer,128,2,2,0.3,0.001,"(0.69317, 24.61498)",0.33201178908348083,0.5104001977881212
transformer,64,3,2,0.2,0.0007585775750291836,"(0.78324, 8.46187)",0.11331728845834732,0.509082449372902
transformer,64,3,4,0.1,0.0007585775750291836,"(0.69317, 24.61498)",0.3092461824417114,0.5087351068731435
transformer,128,3,2,0.2,0.0007585775750291836,"(0.228, 5.802)",0.085740827023983,0.5085594070674198
transformer,64,3,4,0.1,0.0007585775750291836,"(0.78324, 8.46187)",0.11451490968465805,0.5082799587495003
transformer,128,2,2,0.2,0.0007585775750291836,"(0.228, 5.802)",0.07042057067155838,0.5078887765939939
transformer,128,3,2,0.1,0.0007585775750291836,"(0.69317, 24.61498)",0.30473408102989197,0.5078651888553601
transformer,128,3,4,0.3,0.0007585775750291836,"(0.228, 5.802)",0.07960300147533417,0.5076547639280803
transformer,64,2,2,0.1,0.001,"(0.78324, 8.46187)",0.13075174391269684,0.5071358199393141
transformer,128,2,4,0.3,0.0007585775750291836,"(0.69317, 24.61498)",0.3111448585987091,0.5070550634282868
transformer,128,2,2,0.3,0.0007585775750291836,"(0.69317, 24.61498)",0.3200725018978119,0.5067050807566286
transformer,128,3,2,0.3,0.0007585775750291836,"(0.78324, 8.46187)",0.12664680182933807,0.5049780827450264
transformer,128,3,4,0.2,0.0007585775750291836,"(0.69317, 24.61498)",0.2721550166606903,0.5048347169420574
transformer,64,3,2,0.1,0.001,"(0.228, 5.802)",0.06856932491064072,0.5044919304522519
transformer,64,2,4,0.1,0.0007585775750291836,"(0.228, 5.802)",0.07434014230966568,0.5036634937897847
transformer,128,2,4,0.3,0.001,"(0.69317, 24.61498)",0.33083513379096985,0.5036066303765897
transformer,64,2,4,0.3,0.001,"(0.78324, 8.46187)",0.12499141693115234,0.50222929773153
transformer,128,3,2,0.2,0.001,"(0.69317, 24.61498)",0.30692246556282043,0.5020457596784255
transformer,64,2,4,0.2,0.001,"(0.228, 5.802)",0.07662128657102585,0.501865263040323
transformer,128,2,4,0.3,0.001,"(0.228, 5.802)",0.0736297070980072,0.5013797512002788
transformer,64,3,4,0.2,0.0007585775750291836,"(0.78324, 8.46187)",0.10820446163415909,0.5008309038057294
transformer,64,2,4,0.2,0.001,"(0.69317, 24.61498)",0.3068547546863556,0.5004711177495192
transformer,128,3,2,0.1,0.001,"(0.69317, 24.61498)",0.32378146052360535,0.500273961537056
transformer,64,2,4,0.2,0.0007585775750291836,"(0.228, 5.802)",0.07669650763273239,0.4997760864789868
transformer,64,3,4,0.1,0.0007585775750291836,"(0.228, 5.802)",0.0741027370095253,0.4994557341517882
transformer,64,3,4,0.2,0.001,"(0.228, 5.802)",0.06313716620206833,0.4993598994039293
transformer,128,3,2,0.1,0.0007585775750291836,"(0.228, 5.802)",0.07112037390470505,0.49923117013552437
transformer,128,3,2,0.3,0.0007585775750291836,"(0.228, 5.802)",0.07691390067338943,0.49900851507095584
transformer,128,3,4,0.2,0.001,"(0.69317, 24.61498)",0.30349650979042053,0.49895200674833085
transformer,64,3,2,0.1,0.0007585775750291836,"(0.228, 5.802)",0.07967951893806458,0.4983837069992492
transformer,64,3,4,0.1,0.001,"(0.228, 5.802)",0.06429541856050491,0.4970815272016065
transformer,64,3,4,0.1,0.001,"(0.69317, 24.61498)",0.29118338227272034,0.4958841884048922
transformer,64,2,2,0.1,0.001,"(0.69317, 24.61498)",0.3070727288722992,0.4956209021690412
transformer,64,2,2,0.2,0.001,"(0.69317, 24.61498)",0.2873147428035736,0.4948266490781845
transformer,64,3,2,0.1,0.001,"(0.69317, 24.61498)",0.2551107704639435,0.49351325448424016
transformer,64,3,2,0.2,0.001,"(0.78324, 8.46187)",0.10524880141019821,0.49235895725871326
transformer,128,3,4,0.3,0.0007585775750291836,"(0.69317, 24.61498)",0.31225183606147766,0.4923382257328257
transformer,128,3,2,0.3,0.001,"(0.228, 5.802)",0.07322505861520767,0.49168281748208575
transformer,64,2,2,0.1,0.0007585775750291836,"(0.69317, 24.61498)",0.3279224932193756,0.4907975071354828
transformer,64,3,2,0.1,0.0007585775750291836,"(0.69317, 24.61498)",0.28229883313179016,0.4902839026084753
transformer,64,2,4,0.2,0.0007585775750291836,"(0.69317, 24.61498)",0.2780948877334595,0.4902563132997917
transformer,64,3,2,0.2,0.0007585775750291836,"(0.228, 5.802)",0.06849148124456406,0.48885833607969853
transformer,64,3,4,0.2,0.001,"(0.69317, 24.61498)",0.24872525036334991,0.48876480573378434
transformer,64,2,2,0.2,0.001,"(0.228, 5.802)",0.06639017909765244,0.4862752937511415
transformer,64,2,4,0.3,0.0007585775750291836,"(0.78324, 8.46187)",0.1292387694120407,0.4862719225391669
transformer,64,2,2,0.2,0.0007585775750291836,"(0.228, 5.802)",0.07505869120359421,0.4859025587011336
transformer,64,2,4,0.3,0.001,"(0.69317, 24.61498)",0.2780984938144684,0.48535327470855655
transformer,128,3,2,0.3,0.0007585775750291836,"(0.69317, 24.61498)",0.3055148124694824,0.48535163823839067
transformer,64,2,2,0.2,0.0007585775750291836,"(0.69317, 24.61498)",0.28368496894836426,0.48422440504071834
transformer,64,2,2,0.3,0.001,"(0.78324, 8.46187)",0.11439555883407593,0.4840476944124627
transformer,64,2,2,0.3,0.0007585775750291836,"(0.78324, 8.46187)",0.1199897825717926,0.4805139261343819
transformer,64,3,4,0.2,0.0007585775750291836,"(0.228, 5.802)",0.07020927220582962,0.47655358092227845
transformer,64,3,4,0.3,0.001,"(0.78324, 8.46187)",0.12122863531112671,0.47641568536829176
transformer,64,3,4,0.3,0.0007585775750291836,"(0.78324, 8.46187)",0.10227113962173462,0.47620008746045545
transformer,64,2,4,0.3,0.001,"(0.228, 5.802)",0.07087689638137817,0.474952836819918
transformer,64,2,4,0.3,0.0007585775750291836,"(0.228, 5.802)",0.08841711282730103,0.47452503628853204
transformer,128,3,2,0.3,0.001,"(0.69317, 24.61498)",0.30709967017173767,0.4722983225515649
transformer,64,3,2,0.3,0.001,"(0.78324, 8.46187)",0.11739284545183182,0.47049501070307903
transformer,64,3,4,0.2,0.0007585775750291836,"(0.69317, 24.61498)",0.27961620688438416,0.4688912154961888
transformer,64,3,2,0.3,0.0007585775750291836,"(0.78324, 8.46187)",0.11713018268346786,0.4669166398024589
transformer,64,3,2,0.2,0.0007585775750291836,"(0.69317, 24.61498)",0.27231118083000183,0.4657892975661524
transformer,64,3,2,0.3,0.0007585775750291836,"(0.228, 5.802)",0.07662326097488403,0.4643482617226624
transformer,64,3,2,0.2,0.001,"(0.69317, 24.61498)",0.23571555316448212,0.4638056318145905
transformer,128,3,4,0.3,0.001,"(0.69317, 24.61498)",0.262192040681839,0.46129777437128555
transformer,64,2,4,0.3,0.0007585775750291836,"(0.69317, 24.61498)",0.3213229179382324,0.458603388991837
transformer,64,3,2,0.2,0.001,"(0.228, 5.802)",0.07225169986486435,0.4582807621651716
transformer,64,2,2,0.3,0.001,"(0.228, 5.802)",0.06936275959014893,0.45728471078567884
transformer,64,2,2,0.3,0.0007585775750291836,"(0.228, 5.802)",0.07134612649679184,0.4562846092226398
transformer,64,2,2,0.3,0.001,"(0.69317, 24.61498)",0.2740272283554077,0.45255017499418365
transformer,64,3,4,0.3,0.001,"(0.69317, 24.61498)",0.2697591781616211,0.4514275165777398
transformer,64,3,4,0.3,0.0007585775750291836,"(0.228, 5.802)",0.05931960046291351,0.44192460262341965
transformer,64,2,2,0.3,0.0007585775750291836,"(0.69317, 24.61498)",0.27948734164237976,0.4386619023824992
transformer,64,3,4,0.3,0.0007585775750291836,"(0.69317, 24.61498)",0.2696812152862549,0.4365029528607023
transformer,64,3,2,0.3,0.001,"(0.69317, 24.61498)",0.25321707129478455,0.4349543349873715
transformer,64,3,4,0.3,0.001,"(0.228, 5.802)",0.057671695947647095,0.43334855411234013
transformer,64,3,2,0.3,0.0007585775750291836,"(0.69317, 24.61498)",0.26257166266441345,0.42395777278666086
transformer,64,3,2,0.3,0.001,"(0.228, 5.802)",0.06457012891769409,0.4144331545882616
transformer,256,2,4,0.1,0.001,"(0.78324, 8.46187)",0.06789738684892654,0.16985489612163993
transformer,256,2,2,0.1,0.0007585775750291836,"(0.78324, 8.46187)",0.06055529788136482,0.16767680368200777
transformer,256,3,2,0.1,0.001,"(0.228, 5.802)",0.0316813625395298,0.16762996894754142
